ITEM 1; Pulidora; HERRAMIENTAS
ITEM 2; Botas; SEGURIDAD
ITEM 3; Chaveta; FIJACIÓN
ITEM 4; Perno; FIJACIÓN
ITEM 5; Arnés; SEGURIDAD
ITEM 6; Pistola de pintura; PINTURA
ITEM 7; Pistola de pintura; PINTURA
ITEM 8; Botas; SEGURIDAD
ITEM 9; Destornillador; HERRAMIENTAS
ITEM 10; Remache; FIJACIÓN
ITEM 11; Hacha; HERRAMIENTAS
ITEM 12; Clavo; FIJACIÓN
ITEM 13; Guantes; SEGURIDAD
ITEM 14; Multímetro; ELECTRICIDAD
ITEM 15; Tuerca; FIJACIÓN
ITEM 16; Soldador; HERRAMIENTAS
ITEM 17; Rodillo; PINTURA
ITEM 18; Rodillo; PINTURA
ITEM 19; Arandela; FIJACIÓN
ITEM 20; Perno; FIJACIÓN
ITEM 21; Remache; FIJACIÓN
ITEM 22; Disyuntor; ELECTRICIDAD
ITEM 23; Pintura; PINTURA
ITEM 24; Interruptor; ELECTRICIDAD
ITEM 25; Interruptor; ELECTRICIDAD
ITEM 26; Lámpara; ELECTRICIDAD
ITEM 27; Perno; FIJACIÓN
ITEM 28; Disolvente; PINTURA
ITEM 29; Grapa; FIJACIÓN
ITEM 30; Mascarilla; SEGURIDAD
ITEM 31; Lámpara; ELECTRICIDAD
ITEM 32; Clavo; FIJACIÓN
ITEM 33; Interruptor; ELECTRICIDAD
ITEM 34; Rodillo; PINTURA
ITEM 35; Tubo PVC; PLOMERÍA
ITEM 36; Tornillo; FIJACIÓN
ITEM 37; Taladro; HERRAMIENTAS
ITEM 38; Tornillo; FIJACIÓN
ITEM 39; Rodillo; PINTURA
ITEM 40; Toma corriente; ELECTRICIDAD
ITEM 41; Llave Allen; HERRAMIENTAS
ITEM 42; Removedor de pintura; PINTURA
ITEM 43; Lentes de seguridad; SEGURIDAD
ITEM 44; Guantes; SEGURIDAD
ITEM 45; Rodillo; PINTURA
ITEM 46; Foco LED; ELECTRICIDAD
ITEM 47; Tornillo; FIJACIÓN
ITEM 48; Escuadra; HERRAMIENTAS
ITEM 49; Pistola de pintura; PINTURA
ITEM 50; Toma corriente; ELECTRICIDAD
ITEM 51; Trampa de agua; PLOMERÍA
ITEM 52; Tornillo; FIJACIÓN
ITEM 53; Arandela; FIJACIÓN
ITEM 54; Lentes de seguridad; SEGURIDAD
ITEM 55; Tuerca; FIJACIÓN
ITEM 56; Mascarilla; SEGURIDAD
ITEM 57; Llave de paso; PLOMERÍA
ITEM 58; Mascarilla; SEGURIDAD
ITEM 59; Lija; PINTURA
ITEM 60; Disolvente; PINTURA
ITEM 61; Arandela; FIJACIÓN
ITEM 62; Cinta teflón; PLOMERÍA
ITEM 63; Canaleta; ELECTRICIDAD
ITEM 64; Foco LED; ELECTRICIDAD
ITEM 65; Nivel; HERRAMIENTAS
ITEM 66; T de PVC; PLOMERÍA
ITEM 67; Tapones auditivos; SEGURIDAD
ITEM 68; Multímetro; ELECTRICIDAD
ITEM 69; Lámpara; ELECTRICIDAD
ITEM 70; Removedor de pintura; PINTURA
ITEM 71; Pulidora; HERRAMIENTAS
ITEM 72; Interruptor; ELECTRICIDAD
ITEM 73; Canaleta; ELECTRICIDAD
ITEM 74; Cepillo metálico; HERRAMIENTAS
ITEM 75; Removedor de pintura; PINTURA
ITEM 76; Trampa de agua; PLOMERÍA
ITEM 77; Llave Allen; HERRAMIENTAS
ITEM 78; Toma corriente; ELECTRICIDAD
ITEM 79; Lámpara; ELECTRICIDAD
ITEM 80; Casco; SEGURIDAD
ITEM 81; Codo PVC; PLOMERÍA
ITEM 82; Cables eléctricos; ELECTRICIDAD
ITEM 83; Interruptor; ELECTRICIDAD
ITEM 84; Chaleco reflectivo; SEGURIDAD
ITEM 85; Soldador; HERRAMIENTAS
ITEM 86; Destornillador; HERRAMIENTAS
ITEM 87; Removedor de pintura; PINTURA
ITEM 88; Pulidora; HERRAMIENTAS
ITEM 89; Foco LED; ELECTRICIDAD
ITEM 90; Lámpara; ELECTRICIDAD
ITEM 91; Taladro; HERRAMIENTAS
ITEM 92; Trampa de agua; PLOMERÍA
ITEM 93; Rodillo; PINTURA
ITEM 94; T de PVC; PLOMERÍA
ITEM 95; Casco; SEGURIDAD
ITEM 96; Mascarilla; SEGURIDAD
ITEM 97; Remache; FIJACIÓN
ITEM 98; Unión roscada; PLOMERÍA
ITEM 99; Enchufe; ELECTRICIDAD
ITEM 100; Arnés; SEGURIDAD
ITEM 101; Alicate; HERRAMIENTAS
ITEM 102; Chaveta; FIJACIÓN
ITEM 103; T de PVC; PLOMERÍA
ITEM 104; Pistola de pintura; PINTURA
ITEM 105; Mascarilla; SEGURIDAD
ITEM 106; Lija; PINTURA
ITEM 107; Pintura; PINTURA
ITEM 108; Prensa; HERRAMIENTAS
ITEM 109; Disyuntor; ELECTRICIDAD
ITEM 110; Pintura; PINTURA
ITEM 111; Destornillador; HERRAMIENTAS
ITEM 112; Pintura; PINTURA
ITEM 113; Tornillo; FIJACIÓN
ITEM 114; Interruptor; ELECTRICIDAD
ITEM 115; Tubo PVC; PLOMERÍA
ITEM 116; Alicate; HERRAMIENTAS
ITEM 117; Botas; SEGURIDAD
