ITEM 1 | Galleta rellena 250 g | Snacks y Dulces
ITEM 2 | Filete de tilapia 0.5 kg | Carnes y Pescados
ITEM 3 | Hamburguesa de res 400 g | Congelados
ITEM 4 | Acondicionador 500 ml | Higiene y Cuidado Personal
ITEM 5 | Crema de leche 750 ml | Lácteos y Huevos
ITEM 6 | Agua saborizada 900 ml | Bebidas
ITEM 7 | Papa chola 0.25 kg | Frutas y Verduras
ITEM 8 | Brócoli 3 un | Frutas y Verduras
ITEM 9 | Fórmula infantil 750 g | Bebé y Mascotas
ITEM 10 | Trapo microfibra 10 un | Limpieza del Hogar
ITEM 11 | Toallas higiénicas 200 un | Higiene y Cuidado Personal
ITEM 12 | Alitas de pollo 0.25 kg | Carnes y Pescados
ITEM 13 | Banano mano 5 un | Frutas y Verduras
ITEM 14 | Pan integral 400 g | Panadería y Cereales
ITEM 15 | Cepillo dental 4 un | Higiene y Cuidado Personal
ITEM 16 | Maní salado 400 g | Snacks y Dulces
ITEM 17 | Queso fresco 300 g | Lácteos y Huevos
ITEM 18 | Cereal de maíz 750 g | Panadería y Cereales
ITEM 19 | Energética 900 ml | Bebidas
ITEM 20 | Mostaza 250 g | Abarrotes
ITEM 21 | Levadura seca 500 g | Abarrotes
ITEM 22 | Concentrado perro 0.25 kg | Bebé y Mascotas
ITEM 23 | Jugo néctar 400 ml | Bebidas
ITEM 24 | Palomitas para microondas 750 g | Snacks y Dulces
ITEM 25 | Esponja multiuso 5 un | Limpieza del Hogar
ITEM 26 | Salsa de ají 200 g | Abarrotes
ITEM 27 | Bebida isotónica 900 ml | Bebidas
ITEM 28 | Crema corporal 750 ml | Higiene y Cuidado Personal
ITEM 29 | Protector solar 750 ml | Higiene y Cuidado Personal
ITEM 30 | Mermelada de fresa 250 g | Abarrotes
ITEM 31 | Leche descremada 1.5 L | Lácteos y Huevos
ITEM 32 | Tortillas de trigo 250 g | Panadería y Cereales
ITEM 33 | Toallitas húmedas 20 un | Bebé y Mascotas
ITEM 34 | Nachos 900 g | Snacks y Dulces
ITEM 35 | Gaseosa cola 500 ml | Bebidas
ITEM 36 | Nuggets de pollo 200 g | Congelados
ITEM 37 | Costilla de res 0.25 kg | Carnes y Pescados
ITEM 38 | Harina de trigo 0.5 kg | Abarrotes
ITEM 39 | Chicle 3 un | Snacks y Dulces
ITEM 40 | Garbanzos 0.5 kg | Abarrotes
ITEM 41 | Detergente líquido 200 L | Limpieza del Hogar
ITEM 42 | Tomate riñón 20 un | Frutas y Verduras
ITEM 43 | Gaseosa limón 300 ml | Bebidas
ITEM 44 | Pilas AAA 1 un | Ferretería ligera
ITEM 45 | Pechuga de pollo 0.25 kg | Carnes y Pescados
ITEM 46 | Lenteja 0.25 kg | Abarrotes
ITEM 47 | Chocolate barra 400 g | Snacks y Dulces
ITEM 48 | Ajo cabeza 2 un | Frutas y Verduras
ITEM 49 | Cilantro manojo | Frutas y Verduras
ITEM 50 | Mantequilla 300 g | Lácteos y Huevos
ITEM 51 | Agua sin gas 500 L | Bebidas
ITEM 52 | Lechuga 200 un | Frutas y Verduras
ITEM 53 | Margarina 900 g | Lácteos y Huevos
ITEM 54 | Azúcar 1 kg | Abarrotes
ITEM 55 | Caramelo surtido 300 g | Snacks y Dulces
ITEM 56 | Cloro 1 L | Limpieza del Hogar
ITEM 57 | Comida húmeda perro 400 g | Bebé y Mascotas
ITEM 58 | Pan de molde blanco 500 g | Panadería y Cereales
ITEM 59 | Chuleta de cerdo 1 kg | Carnes y Pescados
ITEM 60 | Shampoo 300 ml | Higiene y Cuidado Personal
ITEM 61 | Cacao en polvo 200 g | Abarrotes
ITEM 62 | Camarón mediano 1 kg | Carnes y Pescados
ITEM 63 | Crema dental 750 g | Higiene y Cuidado Personal
ITEM 64 | Galleta de avena 200 g | Panadería y Cereales
ITEM 65 | Vinagre blanco 200 L | Abarrotes
ITEM 66 | Gel de baño 900 ml | Higiene y Cuidado Personal
ITEM 67 | Guantes de limpieza 10 par | Limpieza del Hogar
ITEM 68 | Jabón de tocador 250 g | Higiene y Cuidado Personal
ITEM 69 | Bolsas basura 4 un | Limpieza del Hogar
ITEM 70 | Aceite vegetal 500 L | Abarrotes
ITEM 71 | Fósforos 2 un | Ferretería ligera
ITEM 72 | Perejil manojo | Frutas y Verduras
ITEM 73 | Papel higiénico 750 un | Higiene y Cuidado Personal
ITEM 74 | Sardina en aceite 300 g | Abarrotes
ITEM 75 | Cebolla paiteña 4 un | Frutas y Verduras
ITEM 76 | Papa a la francesa 300 g | Congelados
ITEM 77 | Chocolate de mesa 200 g | Abarrotes
ITEM 78 | Rasuradora 1 un | Higiene y Cuidado Personal
ITEM 79 | Mezcla de verduras congeladas 300 g | Congelados
ITEM 80 | Kumis 300 ml | Lácteos y Huevos
ITEM 81 | Limón sutil 1 un | Frutas y Verduras
ITEM 82 | Helado vainilla 0.5 L | Congelados
ITEM 83 | Pilas AA 2 un | Ferretería ligera
ITEM 84 | Café molido 900 g | Abarrotes
ITEM 85 | Pimiento verde 5 un | Frutas y Verduras
ITEM 86 | Yogur natural 900 g | Lácteos y Huevos
ITEM 87 | Leche entera 0.5 L | Lácteos y Huevos
ITEM 88 | Agua con gas 250 L | Bebidas
ITEM 89 | Avena 250 g | Abarrotes
ITEM 90 | Naranja 4 un | Frutas y Verduras
ITEM 91 | Suavizante 2 L | Limpieza del Hogar
ITEM 92 | Maíz dulce enlatado 500 g | Abarrotes
